layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
conv_layers.0,0,0,0,0.9483346343040466,0.7618284821510315
conv_layers.0,0,0,1,0.872730553150177,0.7916253805160522
conv_layers.0,0,0,2,0.9241517782211304,0.5827640891075134
conv_layers.0,0,0,3,0.9351463913917542,0.7561930418014526
conv_layers.0,0,0,4,0.9036885499954224,0.692160964012146
conv_layers.0,0,0,5,0.8561575412750244,0.7939327955245972
conv_layers.0,0,0,6,0.8283753395080566,0.5885301828384399
conv_layers.0,0,0,7,0.9018387794494629,0.571097731590271
conv_layers.0,0,0,8,0.9126217365264893,0.6346956491470337
conv_layers.0,0,0,9,0.9125022888183594,0.790600061416626
conv_layers.0,0,0,10,0.8890082836151123,0.7793983221054077
conv_layers.0,0,0,11,0.9267410635948181,0.8067916035652161
conv_layers.0,0,0,12,0.8439645171165466,0.730250895023346
conv_layers.0,0,0,13,0.8331513404846191,0.7542221546173096
conv_layers.0,0,0,14,0.8300698399543762,0.5633376836776733
conv_layers.0,0,0,15,0.7736999988555908,0.5285700559616089
conv_layers.0,0,0,16,0.9197803735733032,0.858652651309967
conv_layers.0,0,0,17,0.7821366190910339,0.6955952048301697
conv_layers.0,0,0,18,0.9370186924934387,0.8514933586120605
conv_layers.0,0,0,19,0.9318320751190186,0.794493556022644
conv_layers.0,0,0,20,0.8186421394348145,0.5049583911895752
conv_layers.0,0,0,21,0.8354547023773193,0.5302957892417908
conv_layers.0,0,0,22,0.8804318904876709,0.753320574760437
conv_layers.0,0,0,23,0.9007254242897034,0.6361034512519836
conv_layers.0,0,0,24,0.6511044502258301,0.5710829496383667
conv_layers.0,0,0,25,0.9768378734588623,0.7452174425125122
conv_layers.0,0,0,26,0.9053554534912109,0.6246052980422974
conv_layers.0,0,0,27,0.9526412487030029,0.8747805953025818
conv_layers.0,0,0,28,0.7635140419006348,0.6305618286132812
conv_layers.0,0,0,29,0.8226248025894165,0.7360668182373047
conv_layers.0,0,0,30,0.9583718776702881,0.8242022395133972
