layer_name,layer_idx,class_i,class_j,cosine_similarity
conv_layers.0,0,0,1,0.6136174201965332
conv_layers.0,0,0,2,0.44056493043899536
conv_layers.0,0,0,3,0.351154088973999
conv_layers.0,0,0,4,0.5581226944923401
conv_layers.0,0,0,5,0.40039169788360596
conv_layers.0,0,0,6,0.004650237038731575
conv_layers.0,0,0,7,0.42367470264434814
conv_layers.0,0,0,8,0.17690087854862213
conv_layers.0,0,0,9,0.08840746432542801
conv_layers.0,0,0,10,0.6498592495918274
conv_layers.0,0,0,11,0.6519232988357544
conv_layers.0,0,0,12,0.34642624855041504
conv_layers.0,0,0,13,0.45589515566825867
conv_layers.0,0,0,14,0.8504030704498291
conv_layers.0,0,0,15,0.1170852929353714
conv_layers.0,0,0,16,0.4531615674495697
conv_layers.0,0,0,17,0.5354549288749695
conv_layers.0,0,0,18,0.6675873398780823
conv_layers.0,0,0,19,0.1604817658662796
conv_layers.0,0,0,20,0.12179119139909744
conv_layers.0,0,0,21,0.4100242257118225
conv_layers.0,0,0,22,0.8272950053215027
conv_layers.0,0,0,23,0.25068631768226624
conv_layers.0,0,0,24,0.31651541590690613
conv_layers.0,0,0,25,0.3558320701122284
conv_layers.0,0,0,26,0.5983749628067017
conv_layers.0,0,0,27,0.22679421305656433
conv_layers.0,0,0,28,0.39803287386894226
conv_layers.0,0,0,29,0.5645671486854553
conv_layers.0,0,0,30,0.8071209192276001
conv_layers.0,0,0,31,0.6911251544952393
conv_layers.0,0,0,32,0.00611019367352128
conv_layers.0,0,0,33,0.04486539587378502
conv_layers.0,0,0,34,0.44732755422592163
conv_layers.0,0,0,35,0.11080250889062881
conv_layers.0,0,0,36,0.4647918939590454
conv_layers.0,0,0,37,0.7037478685379028
conv_layers.0,0,0,38,0.00823285523802042
conv_layers.0,0,0,39,0.36447930335998535
conv_layers.0,0,0,40,0.04055560380220413
conv_layers.0,0,0,41,0.13503344357013702
conv_layers.0,0,0,42,0.4479241967201233
conv_layers.0,0,1,0,0.6136174201965332
conv_layers.0,0,1,2,0.06494052708148956
conv_layers.0,0,1,3,0.07008346915245056
conv_layers.0,0,1,4,0.0651690885424614
conv_layers.0,0,1,5,0.46951404213905334
conv_layers.0,0,1,6,0.25893911719322205
conv_layers.0,0,1,7,0.17819316685199738
conv_layers.0,0,1,8,0.2460300326347351
conv_layers.0,0,1,9,0.3558424711227417
conv_layers.0,0,1,10,0.23478245735168457
conv_layers.0,0,1,11,0.3458138704299927
conv_layers.0,0,1,12,0.16708806157112122
conv_layers.0,0,1,13,0.39052239060401917
conv_layers.0,0,1,14,0.7203338742256165
conv_layers.0,0,1,15,0.16112521290779114
conv_layers.0,0,1,16,0.24801018834114075
conv_layers.0,0,1,17,0.2597145140171051
conv_layers.0,0,1,18,0.06847657263278961
conv_layers.0,0,1,19,0.3077404499053955
conv_layers.0,0,1,20,0.20190051198005676
conv_layers.0,0,1,21,0.5035544037818909
conv_layers.0,0,1,22,0.7285765409469604
conv_layers.0,0,1,23,0.10700687021017075
conv_layers.0,0,1,24,0.20260345935821533
conv_layers.0,0,1,25,0.1926882565021515
conv_layers.0,0,1,26,0.2893807590007782
conv_layers.0,0,1,27,0.08210022747516632
conv_layers.0,0,1,28,0.11590944975614548
conv_layers.0,0,1,29,0.29753464460372925
conv_layers.0,0,1,30,0.43371593952178955
conv_layers.0,0,1,31,0.5259705781936646
conv_layers.0,0,1,32,0.05014514923095703
conv_layers.0,0,1,33,0.001828305423259735
conv_layers.0,0,1,34,0.5274514555931091
conv_layers.0,0,1,35,0.3519420623779297
conv_layers.0,0,1,36,0.7574904561042786
conv_layers.0,0,1,37,0.25819191336631775
conv_layers.0,0,1,38,0.4073318839073181
conv_layers.0,0,1,39,0.04368336498737335
conv_layers.0,0,1,40,0.25319215655326843
conv_layers.0,0,1,41,0.5911785364151001
conv_layers.0,0,1,42,0.004443474113941193
conv_layers.0,0,2,0,0.44056493043899536
conv_layers.0,0,2,1,0.06494052708148956
conv_layers.0,0,2,3,0.07675828784704208
conv_layers.0,0,2,4,0.6968600153923035
conv_layers.0,0,2,5,0.01716231182217598
conv_layers.0,0,2,6,0.24697202444076538
conv_layers.0,0,2,7,0.17915129661560059
conv_layers.0,0,2,8,0.3617807924747467
conv_layers.0,0,2,9,0.32526639103889465
conv_layers.0,0,2,10,0.2352631390094757
conv_layers.0,0,2,11,0.030328890308737755
conv_layers.0,0,2,12,0.22513824701309204
conv_layers.0,0,2,13,0.1817019134759903
conv_layers.0,0,2,14,0.2749379873275757
conv_layers.0,0,2,15,0.0783291608095169
conv_layers.0,0,2,16,0.22055840492248535
conv_layers.0,0,2,17,0.014970336109399796
conv_layers.0,0,2,18,0.5853763222694397
conv_layers.0,0,2,19,0.25822681188583374
conv_layers.0,0,2,20,0.2871689200401306
conv_layers.0,0,2,21,0.3618725538253784
conv_layers.0,0,2,22,0.21624118089675903
conv_layers.0,0,2,23,0.19085808098316193
conv_layers.0,0,2,24,0.1829172521829605
conv_layers.0,0,2,25,0.05924622714519501
conv_layers.0,0,2,26,0.30132752656936646
conv_layers.0,0,2,27,0.1053214967250824
conv_layers.0,0,2,28,0.5139866471290588
conv_layers.0,0,2,29,0.23323386907577515
