layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
stem.1,0,0.3367718458175659,0.19084638357162476,0.1498347818851471,6.671060394610057,0.22429746389389038,4.457160815585347
layer1.0.bn1,1,0.2882517874240875,0.18340395390987396,0.11672346293926239,8.562195517356017,0.19071932137012482,5.24156948764871
layer1.0.bn2,2,0.40299445390701294,0.1932395100593567,0.1997431516647339,5.004862809393594,0.23698416352272034,4.2186300146515885
layer1.1.bn1,3,0.4316409230232239,0.28062382340431213,0.26505744457244873,3.771949922713632,0.2412457913160324,4.144131679447007
layer1.1.bn2,4,0.4647482931613922,0.19918444752693176,0.25566229224205017,3.9105202855718093,0.2648274898529053,3.7752242121133324
layer2.0.bn1,5,0.48372069001197815,0.16793276369571686,0.2621849477291107,3.8132630730137715,0.2530801296234131,3.9504067938307412
layer2.0.bn2,6,0.49741604924201965,0.15827658772468567,0.27247223258018494,3.669333261160914,0.22009114921092987,4.542314477514193
layer2.0.downsample.1,7,0.49741604924201965,0.15827658772468567,0.27247223258018494,3.669333261160914,0.24592319130897522,4.065336326572367
layer2.1.bn1,8,0.48234403133392334,0.1571754813194275,0.2573579251766205,3.884763183299207,0.22157759964466095,4.5118531620477516
layer2.1.bn2,9,0.5480669140815735,0.15825185179710388,0.3254190683364868,3.072463050898205,0.2282675951719284,4.379666424161005
layer3.0.bn1,10,0.5113162398338318,0.15687568485736847,0.2860523760318756,3.4951817122952153,0.23820017278194427,4.197101017072025
layer3.0.bn2,11,0.5765576362609863,0.14456796646118164,0.353316992521286,2.829914883016015,0.250821053981781,3.9859759310612284
layer3.0.downsample.1,12,0.5765576362609863,0.14456796646118164,0.353316992521286,2.829914883016015,0.26564574241638184,3.7635990360335
layer3.1.bn1,13,0.59669029712677,0.1428278684616089,0.3764374852180481,2.6561398190134105,0.3079890012741089,3.246299303890119
layer3.1.bn2,14,0.6553226709365845,0.13171322643756866,0.4467947781085968,2.2379475303360254,0.30851948261260986,3.2407188940318115
layer4.0.bn1,15,0.6620049476623535,0.10084020346403122,0.4484184980392456,2.229845351360386,0.3736237585544586,2.6761387848086273
layer4.0.bn2,16,0.7259693145751953,0.08010903745889664,0.5334484577178955,1.8744672650218785,0.39845284819602966,2.5094112473907297
layer4.0.downsample.1,17,0.7259693145751953,0.08010903745889664,0.5334484577178955,1.8744672650218785,0.4028089940547943,2.482278682051722
layer4.1.bn1,18,0.7366518378257751,0.0638393983244896,0.5467310547828674,1.8289343922073726,0.4503941833972931,2.22006567653938
layer4.1.bn2,19,0.752065896987915,0.05909041687846184,0.5690945982933044,1.7570731604465568,0.29667118191719055,3.3701109749939095
fc,20,0.7746478319168091,0.05535721406340599,0.6031433343887329,1.657895456804888,0.4505162537097931,2.2194642396010438
