layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
stem.1,0,0.46695977449417114,0.27537184953689575,0.29387518763542175,3.40216644169087,0.2921931743621826,3.421745814985947
layer1.0.bn1,1,0.4615662097930908,0.29992082715034485,0.30298885703086853,3.2998583026748483,0.30616652965545654,3.2656181328759977
layer1.0.bn2,2,0.4944329559803009,0.29348596930503845,0.33059120178222656,3.0244054083153387,0.23355180025100708,4.280607819708013
layer1.1.bn1,3,0.5036309361457825,0.30301663279533386,0.34545600414276123,2.8942961563703036,0.308294415473938,3.2430841477561585
layer1.1.bn2,4,0.5024405717849731,0.2560012638568878,0.31797802448272705,3.144344482715752,0.21341675519943237,4.684318795299316
layer2.0.bn1,5,0.5104318261146545,0.20343604683876038,0.3019236624240875,3.3114972772485824,0.26004406809806824,3.844647311169013
layer2.0.bn2,6,0.5093343257904053,0.18595632910728455,0.2939984202384949,3.4007407659065207,0.22739540040493011,4.396459244004672
layer2.0.downsample.1,7,0.5093343257904053,0.18595632910728455,0.2939984202384949,3.4007407659065207,0.23043453693389893,4.338495229937933
layer2.1.bn1,8,0.5288474559783936,0.17823085188865662,0.31144341826438904,3.2103015654547997,0.26267826557159424,3.80610377758997
layer2.1.bn2,9,0.5547870397567749,0.16533710062503815,0.3351229131221771,2.9835173136272948,0.18681518733501434,5.351063980745563
layer3.0.bn1,10,0.5356726050376892,0.15612547099590302,0.31131836771965027,3.2115907577006406,0.2487604171037674,4.018983874790469
layer3.0.bn2,11,0.5913744568824768,0.15454407036304474,0.3736058175563812,2.6762672693212237,0.3090721070766449,3.234925916102775
layer3.0.downsample.1,12,0.5913744568824768,0.15454407036304474,0.3736058175563812,2.6762672693212237,0.2902441620826721,3.4447169220178346
layer3.1.bn1,13,0.6105243563652039,0.15453742444515228,0.39661991596221924,2.521005911711516,0.3336483836174011,2.9966996171974767
layer3.1.bn2,14,0.678882896900177,0.13670900464057922,0.4795698821544647,2.0850250534470223,0.3125930428504944,3.1984979780318787
layer4.0.bn1,15,0.6449527144432068,0.1071133017539978,0.4274364113807678,2.3392844536122013,0.3607056140899658,2.771960027602205
layer4.0.bn2,16,0.7338593006134033,0.09151004254817963,0.546923041343689,1.8282924725229266,0.4207296669483185,2.376567466974082
layer4.0.downsample.1,17,0.7338593006134033,0.09151004254817963,0.546923041343689,1.8282924725229266,0.43327006697654724,2.3077934269709703
layer4.1.bn1,18,0.7351300120353699,0.07972240447998047,0.5467714071273804,1.8287994340795837,0.4720275104045868,2.118335466360744
layer4.1.bn2,19,0.7572665214538574,0.08029481023550034,0.5798993706703186,1.72433951941657,0.36555778980255127,2.735174700645627
fc,20,0.7970958948135376,0.07646862417459488,0.641208827495575,1.5594861462212093,0.5151347517967224,1.9410968913045763
