layer_name,layer_idx,class_i,class_j,cosine_similarity
stem.1,0,0,1,0.5307559967041016
stem.1,0,0,2,0.6774722337722778
stem.1,0,0,3,0.5048521757125854
stem.1,0,0,4,0.1411147117614746
stem.1,0,0,5,0.4532768726348877
stem.1,0,0,6,0.19776515662670135
stem.1,0,0,7,0.09520933032035828
stem.1,0,0,8,0.018099810928106308
stem.1,0,0,9,0.36637064814567566
stem.1,0,1,0,0.5307559967041016
stem.1,0,1,2,0.7327708005905151
stem.1,0,1,3,0.16946150362491608
stem.1,0,1,4,0.34100043773651123
stem.1,0,1,5,0.45716798305511475
stem.1,0,1,6,0.4493979811668396
stem.1,0,1,7,0.021452322602272034
stem.1,0,1,8,0.08642898499965668
stem.1,0,1,9,0.7785061597824097
stem.1,0,2,0,0.6774722337722778
stem.1,0,2,1,0.7327708005905151
stem.1,0,2,3,0.44023963809013367
stem.1,0,2,4,0.05730389431118965
stem.1,0,2,5,0.638309895992279
stem.1,0,2,6,0.4331207871437073
stem.1,0,2,7,0.0009350292384624481
stem.1,0,2,8,0.04933040216565132
stem.1,0,2,9,0.5270694494247437
stem.1,0,3,0,0.5048521757125854
stem.1,0,3,1,0.16946150362491608
stem.1,0,3,2,0.44023963809013367
stem.1,0,3,4,0.34656578302383423
stem.1,0,3,5,0.38318192958831787
stem.1,0,3,6,0.2757663428783417
stem.1,0,3,7,0.12882274389266968
stem.1,0,3,8,0.08845798671245575
stem.1,0,3,9,0.001514330506324768
stem.1,0,4,0,0.1411147117614746
stem.1,0,4,1,0.34100043773651123
stem.1,0,4,2,0.05730389431118965
stem.1,0,4,3,0.34656578302383423
stem.1,0,4,5,0.1490064412355423
stem.1,0,4,6,0.11479005962610245
stem.1,0,4,7,0.0921289250254631
stem.1,0,4,8,0.338981956243515
stem.1,0,4,9,0.44223472476005554
stem.1,0,5,0,0.4532768726348877
stem.1,0,5,1,0.45716798305511475
stem.1,0,5,2,0.638309895992279
stem.1,0,5,3,0.38318192958831787
stem.1,0,5,4,0.1490064412355423
stem.1,0,5,6,0.6628714203834534
stem.1,0,5,7,0.14883770048618317
stem.1,0,5,8,0.3529067933559418
stem.1,0,5,9,0.3366544246673584
stem.1,0,6,0,0.19776515662670135
stem.1,0,6,1,0.4493979811668396
stem.1,0,6,2,0.4331207871437073
stem.1,0,6,3,0.2757663428783417
stem.1,0,6,4,0.11479005962610245
stem.1,0,6,5,0.6628714203834534
stem.1,0,6,7,0.23052404820919037
stem.1,0,6,8,0.23807823657989502
stem.1,0,6,9,0.32285791635513306
stem.1,0,7,0,0.09520933032035828
stem.1,0,7,1,0.021452322602272034
stem.1,0,7,2,0.0009350292384624481
stem.1,0,7,3,0.12882274389266968
stem.1,0,7,4,0.0921289250254631
stem.1,0,7,5,0.14883770048618317
stem.1,0,7,6,0.23052404820919037
stem.1,0,7,8,0.22103312611579895
stem.1,0,7,9,0.10414955019950867
stem.1,0,8,0,0.018099810928106308
stem.1,0,8,1,0.08642898499965668
stem.1,0,8,2,0.04933040216565132
stem.1,0,8,3,0.08845798671245575
stem.1,0,8,4,0.338981956243515
stem.1,0,8,5,0.3529067933559418
stem.1,0,8,6,0.23807823657989502
stem.1,0,8,7,0.22103312611579895
stem.1,0,8,9,0.11291104555130005
stem.1,0,9,0,0.36637064814567566
stem.1,0,9,1,0.7785061597824097
stem.1,0,9,2,0.5270694494247437
stem.1,0,9,3,0.001514330506324768
stem.1,0,9,4,0.44223472476005554
stem.1,0,9,5,0.3366544246673584
stem.1,0,9,6,0.32285791635513306
stem.1,0,9,7,0.10414955019950867
stem.1,0,9,8,0.11291104555130005
layer1.0.bn1,1,0,1,0.49057653546333313
layer1.0.bn1,1,0,2,0.5057459473609924
layer1.0.bn1,1,0,3,0.2637181282043457
layer1.0.bn1,1,0,4,0.029383715242147446
layer1.0.bn1,1,0,5,0.27978575229644775
layer1.0.bn1,1,0,6,0.10828705132007599
layer1.0.bn1,1,0,7,0.4338509738445282
layer1.0.bn1,1,0,8,0.057157404720783234
layer1.0.bn1,1,0,9,0.5428768396377563
layer1.0.bn1,1,1,0,0.49057653546333313
layer1.0.bn1,1,1,2,0.6184167861938477
layer1.0.bn1,1,1,3,0.001729711890220642
layer1.0.bn1,1,1,4,0.4344332218170166
layer1.0.bn1,1,1,5,0.3663080036640167
layer1.0.bn1,1,1,6,0.23665927350521088
