layer_name,layer_idx,gamma,mean_sim,eff_rank_lb,residual_norm
stem.1,0,0.7785061597824097,0.29465973377227783,1.5388364551689677,0.08187511563301086
layer1.0.bn1,1,0.7156195044517517,0.26030150055885315,1.7657825938365412,0.07244221866130829
layer1.0.bn2,2,0.7992882132530212,0.27210235595703125,1.472779793531375,0.08001738041639328
layer1.1.bn1,3,0.871220052242279,0.31273046135902405,1.2725893382336337,0.08334444463253021
layer1.1.bn2,4,0.783855140209198,0.2703433334827423,1.5214444947478625,0.06688055396080017
layer2.0.bn1,5,0.7385526299476624,0.23784548044204712,1.6779524825842176,0.058729637414216995
layer2.0.bn2,6,0.6193289160728455,0.1988368183374405,2.212092232448008,0.06271256506443024
layer2.0.downsample.1,7,0.6193289160728455,0.1988368183374405,2.212092232448008,0.06271256506443024
layer2.1.bn1,8,0.6074269413948059,0.21274571120738983,2.2774778193931016,0.05993987247347832
layer2.1.bn2,9,0.6266606450080872,0.18043306469917297,2.17305824843763,0.059727102518081665
layer3.0.bn1,10,0.6387670636177063,0.1545923352241516,2.1106016755092676,0.05191633850336075
layer3.0.bn2,11,0.6539573073387146,0.14238892495632172,2.0356090085504714,0.06702692061662674
layer3.0.downsample.1,12,0.6539573073387146,0.14238892495632172,2.0356090085504714,0.06702692061662674
layer3.1.bn1,13,0.6856504082679749,0.1278558373451233,1.8903862241260612,0.06672478467226028
layer3.1.bn2,14,0.6504397392272949,0.1225956603884697,2.05265056221731,0.061345599591732025
layer4.0.bn1,15,0.6567244529724121,0.1234414279460907,2.0223373646640384,0.048103172332048416
layer4.0.bn2,16,0.6822294592857361,0.12112404406070709,1.9053682833030374,0.05999496206641197
layer4.0.downsample.1,17,0.6822294592857361,0.12112404406070709,1.9053682833030374,0.05999496206641197
layer4.1.bn1,18,0.6806718111038208,0.12329839915037155,1.912243769788503,0.054106131196022034
layer4.1.bn2,19,0.7178281545639038,0.12270942330360413,1.757051313841053,0.02948327362537384
fc,20,0.7863880395889282,0.13434471189975739,1.51330467444085,0.023775359615683556
