layer_name,layer_idx,gamma_max,gamma_mean,eff_rank_clean_direct,eff_rank_bd_min,eff_rank_bd_max,rank_gap
stem.1,0,0.7785,0.2947,18.1341,2.4451,14.9521,3.1821
layer1.0.bn1,1,0.7156,0.2603,17.8723,2.3815,13.4197,4.4526
layer1.0.bn2,2,0.7993,0.2721,12.9374,1.9214,12.4455,0.4918
layer1.1.bn1,3,0.8712,0.3127,10.1296,1.7572,11.0872,-0.9576
layer1.1.bn2,4,0.7839,0.2703,12.4944,1.6230,11.5933,0.9011
layer2.0.bn1,5,0.7386,0.2378,17.6380,1.8351,12.8437,4.7944
layer2.0.bn2,6,0.6193,0.1988,20.7786,1.7352,15.2444,5.5343
layer2.0.downsample.1,7,0.6193,0.1988,20.7786,1.7352,15.2444,5.5343
layer2.1.bn1,8,0.6074,0.2127,19.7802,1.6642,14.4708,5.3093
layer2.1.bn2,9,0.6267,0.1804,20.4086,1.4236,11.6542,8.7544
layer3.0.bn1,10,0.6388,0.1546,27.7772,1.2990,12.1107,15.6665
layer3.0.bn2,11,0.6540,0.1424,20.8924,1.2210,8.4239,12.4685
layer3.0.downsample.1,12,0.6540,0.1424,20.8924,1.2210,8.4239,12.4685
layer3.1.bn1,13,0.6857,0.1279,19.3442,1.1385,6.8940,12.4502
layer3.1.bn2,14,0.6504,0.1226,13.7268,1.0863,4.4598,9.2670
layer4.0.bn1,15,0.6567,0.1234,14.9258,1.0951,4.5976,10.3282
layer4.0.bn2,16,0.6822,0.1211,9.7883,1.0395,2.7935,6.9948
layer4.0.downsample.1,17,0.6822,0.1211,9.7883,1.0395,2.7935,6.9948
layer4.1.bn1,18,0.6807,0.1233,8.9061,1.0427,2.4999,6.4062
layer4.1.bn2,19,0.7178,0.1227,8.4086,1.0135,2.0964,6.3122
fc,20,0.7864,0.1343,6.7179,1.0039,1.7570,4.9609
