layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
features.0,0,0.4848157465457916,0.3028956651687622,0.32676345109939575,3.0583480514698222,0.17048469185829163,5.856721295853249
features.2,1,0.49365684390068054,0.30861255526542664,0.3389090299606323,2.9488461986596812,0.2970159649848938,3.3643332399344645
features.5,2,0.4719802141189575,0.25352704524993896,0.2870211899280548,3.4813600010035444,0.21700094640254974,4.603082839060997
features.7,3,0.5239151120185852,0.21608968079090118,0.3211671710014343,3.1115873803361067,0.21638861298561096,4.616089781491765
features.10,4,0.4777563214302063,0.18743200600147247,0.2633708715438843,3.7936102992572605,0.1654765009880066,6.03364222168318
features.12,5,0.49744752049446106,0.18645264208316803,0.28220778703689575,3.5406731812282164,0.1625708043575287,6.141277027513256
features.15,6,0.4543951451778412,0.18620234727859497,0.24113544821739197,4.142971158545086,0.14179307222366333,7.03921249586347
features.17,7,0.5600342750549316,0.18391354382038116,0.3474520146846771,2.87640656549488,0.15879873931407928,6.286868678007798
features.20,8,0.6099693179130554,0.17964820563793182,0.404325932264328,2.472113700866976,0.23236896097660065,4.299061261910003
features.22,9,0.7683241963386536,0.10288139432668686,0.600903332233429,1.6638157490819718,0.2852430045604706,3.503038795764718
classifier,10,0.8468429446220398,0.07139340788125992,0.7222384810447693,1.3844177796631731,0.4417784512042999,2.262684297208052
