layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
features.0,0,0.4991871118545532,0.3107512593269348,0.3457239270210266,2.8907711800440574,0.15152712166309357,6.587947183779464
features.2,1,0.5024729371070862,0.37102773785591125,0.39009761810302734,2.562208683398724,0.2686305046081543,3.719419919430764
features.5,2,0.46277207136154175,0.28817257285118103,0.29717543721199036,3.3625297471036943,0.17327913641929626,5.762441036259655
features.7,3,0.4950350821018219,0.2356477677822113,0.3005722761154175,3.324568489683457,0.16004717350006104,6.237924127026663
features.10,4,0.4437748193740845,0.16687457263469696,0.2247745394706726,4.44411117252126,0.10550209879875183,9.453429481970456
features.12,5,0.502227246761322,0.1671677976846695,0.2801685631275177,3.5664154552163874,0.1150803491473198,8.668743415675289
features.15,6,0.44662025570869446,0.1535138636827469,0.2230287790298462,4.478848802413892,0.0975562259554863,10.220943290537758
features.17,7,0.5387830138206482,0.15610980987548828,0.3146498203277588,3.1759737917169826,0.10855546593666077,9.188294197630148
features.20,8,0.5872794985771179,0.15291397273540497,0.368272602558136,2.7139245674802637,0.1852206587791443,5.391551829985145
features.22,9,0.7602035403251648,0.08732733130455017,0.5855332016944885,1.7074672714045696,0.24178308248519897,4.1318882304747815
classifier,10,0.847352147102356,0.06929462403059006,0.7228058576583862,1.3833315314009809,0.42176610231399536,2.3699666999865667
