layer_name,layer_idx,class_i,class_j,cosine_similarity
features.0,0,0,1,0.11168856173753738
features.0,0,0,2,0.4638882279396057
features.0,0,0,3,0.5186196565628052
features.0,0,0,4,0.21091923117637634
features.0,0,0,5,0.5387749075889587
features.0,0,0,6,0.18073195219039917
features.0,0,0,7,0.050858475267887115
features.0,0,0,8,0.18008635938167572
features.0,0,0,9,0.40404361486434937
features.0,0,1,0,0.11168856173753738
features.0,0,1,2,0.0321931317448616
features.0,0,1,3,0.0761513039469719
features.0,0,1,4,0.33253762125968933
features.0,0,1,5,0.20388159155845642
features.0,0,1,6,0.20481595396995544
features.0,0,1,7,0.034851543605327606
features.0,0,1,8,0.06320194900035858
features.0,0,1,9,0.3852088451385498
features.0,0,2,0,0.4638882279396057
features.0,0,2,1,0.0321931317448616
features.0,0,2,3,0.6062153577804565
features.0,0,2,4,0.45744842290878296
features.0,0,2,5,0.5258628129959106
features.0,0,2,6,0.7256354689598083
features.0,0,2,7,0.20984889566898346
features.0,0,2,8,0.20713075995445251
features.0,0,2,9,0.3831130564212799
features.0,0,3,0,0.5186196565628052
features.0,0,3,1,0.0761513039469719
features.0,0,3,2,0.6062153577804565
features.0,0,3,4,0.7140263915061951
features.0,0,3,5,0.8524838089942932
features.0,0,3,6,0.4208242893218994
features.0,0,3,7,0.22133567929267883
features.0,0,3,8,0.37249401211738586
features.0,0,3,9,0.07619322836399078
features.0,0,4,0,0.21091923117637634
features.0,0,4,1,0.33253762125968933
features.0,0,4,2,0.45744842290878296
features.0,0,4,3,0.7140263915061951
features.0,0,4,5,0.5189853310585022
features.0,0,4,6,0.47905150055885315
features.0,0,4,7,0.3228406608104706
features.0,0,4,8,0.11935615539550781
features.0,0,4,9,0.3760310113430023
features.0,0,5,0,0.5387749075889587
features.0,0,5,1,0.20388159155845642
features.0,0,5,2,0.5258628129959106
features.0,0,5,3,0.8524838089942932
features.0,0,5,4,0.5189853310585022
features.0,0,5,6,0.3574926257133484
features.0,0,5,7,0.06513822823762894
features.0,0,5,8,0.6536706686019897
features.0,0,5,9,0.1250479370355606
features.0,0,6,0,0.18073195219039917
features.0,0,6,1,0.20481595396995544
features.0,0,6,2,0.7256354689598083
features.0,0,6,3,0.4208242893218994
features.0,0,6,4,0.47905150055885315
features.0,0,6,5,0.3574926257133484
features.0,0,6,7,0.13944999873638153
features.0,0,6,8,0.001195836695842445
features.0,0,6,9,0.2574840486049652
features.0,0,7,0,0.050858475267887115
features.0,0,7,1,0.034851543605327606
features.0,0,7,2,0.20984889566898346
features.0,0,7,3,0.22133567929267883
features.0,0,7,4,0.3228406608104706
features.0,0,7,5,0.06513822823762894
features.0,0,7,6,0.13944999873638153
features.0,0,7,8,0.3778388798236847
