layer_name,layer_idx,gamma_max,gamma_mean,eff_rank_clean_direct,eff_rank_bd_min,eff_rank_bd_max,rank_gap
features.0,0,0.8525,0.3166,8.8846,2.8925,3.1578,5.7269
features.2,1,0.8179,0.3208,7.1981,2.5635,2.9506,4.2475
features.5,2,0.5415,0.2346,13.1316,3.2060,3.4841,9.6475
features.7,3,0.5860,0.2378,14.8205,2.9638,3.3270,11.4935
features.10,4,0.4979,0.1770,29.4787,3.6452,4.4489,25.0298
features.12,5,0.5572,0.1660,23.9541,3.4087,3.5693,20.3848
features.15,6,0.5959,0.1415,41.4269,3.6733,4.4837,36.9432
features.17,7,0.5639,0.1472,23.1628,2.5059,3.1781,19.9847
features.20,8,0.6010,0.1545,17.3423,2.2123,2.7154,14.6269
features.22,9,0.6558,0.1161,10.0195,1.6642,1.7311,8.2884
classifier,10,0.7608,0.1205,7.1309,1.3835,1.4262,5.7047
