layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
features.0,0,0,0,0.8555463552474976,0.22897614538669586
features.0,0,0,1,-0.1092028021812439,0.41691988706588745
features.0,0,0,2,0.3847224712371826,0.1958560347557068
features.0,0,0,3,0.6494045853614807,0.18091943860054016
features.0,0,0,4,0.7419285178184509,0.4853326678276062
features.0,0,0,5,0.4786922335624695,0.5602539777755737
features.0,0,0,6,0.7644099593162537,-0.030712410807609558
features.0,0,0,7,0.1525285243988037,0.5024688243865967
features.0,0,0,8,0.7319267988204956,0.3394167423248291
features.0,0,0,9,0.7950658202171326,0.24305498600006104
features.0,0,0,10,0.7418627738952637,0.4228079915046692
features.0,0,0,11,0.6480908393859863,0.42371344566345215
features.0,0,0,12,0.9716272354125977,0.038689110428094864
features.0,0,0,13,0.792352557182312,-0.2615091800689697
features.0,0,0,14,0.5213526487350464,0.29338204860687256
features.0,0,0,15,-0.39634355902671814,0.07375457882881165
features.0,0,0,16,0.7713284492492676,0.13275933265686035
features.0,0,0,17,-0.5708877444267273,-0.2961733937263489
features.0,0,0,18,0.4874952435493469,0.0072591351345181465
features.0,0,0,19,0.22690239548683167,0.03743837773799896
features.0,0,0,20,-0.21363124251365662,-0.1823914349079132
features.0,0,0,21,0.831658661365509,0.5768804550170898
features.0,0,0,22,0.23703792691230774,0.24078863859176636
features.0,0,0,23,0.2423422634601593,0.4416317343711853
features.0,0,0,24,0.8403433561325073,0.221689835190773
features.0,0,0,25,0.955730140209198,0.19744426012039185
features.0,0,0,26,0.9235066175460815,0.6361783742904663
features.0,0,0,27,0.8607189655303955,0.5396947860717773
features.0,0,0,28,0.034550897777080536,-0.09211468696594238
features.0,0,0,29,0.9193915128707886,0.5123543739318848
features.0,0,0,30,0.6234797239303589,0.11094273626804352
features.0,0,0,31,0.36131301522254944,-0.02608674392104149
features.0,0,0,32,0.31743505597114563,-0.21937055885791779
features.0,0,0,33,0.9158265590667725,0.2710447311401367
features.0,0,0,34,0.7564387321472168,0.25554439425468445
features.0,0,0,35,0.8521786332130432,0.7711417078971863
features.0,0,0,36,0.7808765172958374,0.2744268774986267
features.0,0,0,37,0.4937419295310974,0.1117447167634964
features.0,0,0,38,0.5172752141952515,0.19886517524719238
features.0,0,0,39,0.840812087059021,0.2656165361404419
features.0,0,0,40,0.8952690362930298,0.3764476180076599
features.0,0,0,41,0.8308874368667603,0.6332861185073853
features.0,0,0,42,0.8046604990959167,0.3845406174659729
features.0,0,0,43,0.918800413608551,0.38429439067840576
features.0,0,0,44,0.6346815228462219,0.4819149374961853
features.0,0,0,45,0.8307920098304749,0.5538215637207031
features.0,0,0,46,0.8441022634506226,0.4922351539134979
features.0,0,0,47,-0.2573326528072357,0.5058155655860901
features.0,0,0,48,-0.019653938710689545,-0.05883118137717247
features.0,0,0,49,0.49051594734191895,0.38468241691589355
features.0,0,0,50,0.23112045228481293,0.5048182010650635
features.0,0,0,51,0.8520132899284363,0.013276491314172745
features.0,0,0,52,-0.16118906438350677,0.3173617422580719
features.0,0,0,53,0.5670221447944641,0.1716858446598053
features.0,0,0,54,0.3133412003517151,0.5272619128227234
features.0,0,0,55,0.9106883406639099,0.3322139084339142
features.0,0,0,56,-0.01705918461084366,0.011259936727583408
features.0,0,0,57,0.4287567734718323,0.10752075165510178
features.0,0,0,58,0.7763367295265198,0.6602617502212524
features.0,0,0,59,0.2941301763057709,0.18081361055374146
features.0,0,0,60,0.7793639302253723,0.405015230178833
features.0,0,0,61,-0.632829487323761,-0.4360882043838501
features.0,0,0,62,0.4676855802536011,0.16195204854011536
features.0,0,0,63,0.8850793242454529,0.5049090385437012
features.3,1,0,0,0.7291871309280396,0.5156462788581848
features.3,1,0,1,0.5295282006263733,0.6043861508369446
features.3,1,0,2,0.7246801853179932,0.5730352401733398
features.3,1,0,3,0.4582856297492981,0.482257604598999
features.3,1,0,4,0.681367039680481,0.6498297452926636
features.3,1,0,5,0.8707367181777954,0.7631804347038269
features.3,1,0,6,0.7580662965774536,0.6179817914962769
features.3,1,0,7,0.6751993298530579,0.7113094329833984
features.3,1,0,8,0.6836313009262085,0.6365858912467957
features.3,1,0,9,0.7989554405212402,0.7403855323791504
features.3,1,0,10,0.7287341356277466,0.6196237802505493
features.3,1,0,11,0.7580768465995789,0.7013127207756042
features.3,1,0,12,0.7556902170181274,0.5877639055252075
features.3,1,0,13,0.7335870265960693,0.5071613192558289
features.3,1,0,14,0.7318556308746338,0.678142249584198
features.3,1,0,15,0.44150659441947937,0.44809019565582275
features.3,1,0,16,0.7929060459136963,0.6505486965179443
features.3,1,0,17,0.34188389778137207,0.2579018175601959
features.3,1,0,18,0.72846519947052,0.6560781002044678
features.3,1,0,19,0.5667851567268372,0.5118615031242371
features.3,1,0,20,0.5120916366577148,0.45175737142562866
features.3,1,0,21,0.5500196814537048,0.421926349401474
features.3,1,0,22,0.15509848296642303,0.24424290657043457
features.3,1,0,23,0.73403400182724,0.7110018134117126
features.3,1,0,24,0.7327709794044495,0.6702501177787781
features.3,1,0,25,0.9016386270523071,0.727421760559082
features.3,1,0,26,0.716790497303009,0.6681755185127258
features.3,1,0,27,0.6909342408180237,0.6591237187385559
features.3,1,0,28,0.802921712398529,0.743739902973175
features.3,1,0,29,0.7784886360168457,0.7265052795410156
features.3,1,0,30,0.7071240544319153,0.5805463790893555
features.3,1,0,31,0.6516387462615967,-0.21777689456939697
features.3,1,0,32,0.6300290822982788,0.4885523021221161
features.3,1,0,33,0.9224119782447815,0.8211203217506409
features.3,1,0,34,0.8421624898910522,0.6426060199737549
features.3,1,0,35,0.5618072748184204,0.6052964329719543
features.3,1,0,36,0.7896379828453064,0.6785944104194641
features.3,1,0,37,0.7487772107124329,0.5982677936553955
features.3,1,0,38,0.38370320200920105,0.39033904671669006
features.3,1,0,39,0.8091509938240051,0.6327254176139832
features.3,1,0,40,0.3472440540790558,0.4373125731945038
features.3,1,0,41,0.512876570224762,0.5754919648170471
features.3,1,0,42,0.733232319355011,0.605072021484375
features.3,1,0,43,0.48986193537712097,0.4664992094039917
features.3,1,0,44,0.6176655292510986,0.6042804718017578
features.3,1,0,45,0.8098284602165222,0.739422619342804
features.3,1,0,46,0.2897777855396271,0.3939843773841858
features.3,1,0,47,0.698013186454773,0.6791172027587891
features.3,1,0,48,0.42448195815086365,0.29748624563217163
features.3,1,0,49,0.7817543745040894,0.7110565900802612
features.3,1,0,50,0.5112575888633728,0.3677810728549957
features.3,1,0,51,0.4082866311073303,0.37163063883781433
features.3,1,0,52,0.3641597628593445,0.45402398705482483
features.3,1,0,53,0.7330540418624878,0.5754362344741821
features.3,1,0,54,0.5138187408447266,0.44788873195648193
features.3,1,0,55,0.894577145576477,0.7678348422050476
features.3,1,0,56,0.4645400643348694,0.43897631764411926
features.3,1,0,57,0.815575122833252,0.7366684675216675
features.3,1,0,58,0.34542539715766907,0.3829509913921356
features.3,1,0,59,0.41226041316986084,0.42688024044036865
features.3,1,0,60,0.5532857179641724,0.5943992733955383
features.3,1,0,61,0.3191894292831421,0.19449615478515625
features.3,1,0,62,0.5960735082626343,-0.1569661647081375
features.3,1,0,63,0.8075554370880127,0.7205257415771484
classifier.0,2,0,0,0.7930886149406433,0.603630006313324
classifier.0,2,0,1,0.6185712814331055,0.38774949312210083
classifier.0,2,0,2,0.8649708032608032,0.6243343353271484
classifier.0,2,0,3,0.7713953256607056,0.4970758259296417
classifier.0,2,0,4,0.692557692527771,0.47921937704086304
classifier.0,2,0,5,0.7402598857879639,0.4861069619655609
classifier.0,2,0,6,0.8341181874275208,0.4777275323867798
classifier.0,2,0,7,0.6936676502227783,0.43951061367988586
classifier.0,2,0,8,0.7748032212257385,0.480224609375
classifier.0,2,0,9,0.869794487953186,0.6479981541633606
classifier.0,2,0,10,0.8778453469276428,0.676373302936554
classifier.0,2,0,11,0.8680917024612427,0.6067098379135132
classifier.0,2,0,12,0.7951337099075317,0.39947158098220825
classifier.0,2,0,13,0.8144447207450867,0.5027837753295898
classifier.0,2,0,14,0.7584359645843506,0.49688294529914856
classifier.0,2,0,15,0.44079726934432983,0.30756521224975586
classifier.0,2,0,16,0.7477564811706543,0.48907041549682617
classifier.0,2,0,17,0.5244721174240112,0.3253019154071808
classifier.0,2,0,18,0.8645036220550537,0.6172720789909363
classifier.0,2,0,19,0.693004846572876,0.3343808650970459
classifier.0,2,0,20,0.6382967233657837,0.26098668575286865
classifier.0,2,0,21,0.7033721208572388,0.3173356056213379
classifier.0,2,0,22,0.3956165611743927,0.24585942924022675
classifier.0,2,0,23,0.8297452926635742,0.6360702514648438
classifier.0,2,0,24,0.7879579067230225,0.5373539924621582
classifier.0,2,0,25,0.9109922051429749,0.5752216577529907
classifier.0,2,0,26,0.7428759932518005,0.5150876045227051
classifier.0,2,0,27,0.8791214823722839,0.6804184913635254
classifier.0,2,0,28,0.8056548833847046,0.5215860605239868
classifier.0,2,0,29,0.7869836091995239,0.5072116851806641
