layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
conv_layers.0,0,0,0,0.8705806136131287,0.4675900340080261
conv_layers.0,0,0,1,0.684826135635376,0.6170225143432617
conv_layers.0,0,0,2,0.8896857500076294,0.6287349462509155
conv_layers.0,0,0,3,0.8773870468139648,0.5325967669487
conv_layers.0,0,0,4,0.9186449646949768,0.567179799079895
conv_layers.0,0,0,5,0.9110907316207886,0.5629411339759827
conv_layers.0,0,0,6,0.915723443031311,0.4681464731693268
conv_layers.0,0,0,7,0.829310417175293,0.7543736696243286
conv_layers.0,0,0,8,0.7717286348342896,0.3669999837875366
conv_layers.0,0,0,9,0.9046897292137146,0.6760339736938477
conv_layers.0,0,0,10,0.6226745843887329,0.5703899264335632
conv_layers.0,0,0,11,0.7496498823165894,0.46484261751174927
conv_layers.0,0,0,12,0.9037848711013794,0.6905454397201538
conv_layers.0,0,0,13,0.8185497522354126,0.8488379716873169
conv_layers.0,0,0,14,0.9378191232681274,0.7344267964363098
conv_layers.0,0,0,15,0.9039539694786072,0.7636414766311646
conv_layers.0,0,0,16,0.88848876953125,0.6937190890312195
conv_layers.0,0,0,17,0.900317907333374,0.7364040613174438
conv_layers.0,0,0,18,0.8784438371658325,0.7582706212997437
conv_layers.0,0,0,19,0.9018896222114563,0.7074021100997925
conv_layers.0,0,0,20,0.7055160403251648,0.3009187579154968
conv_layers.0,0,0,21,0.9095908403396606,0.5439174771308899
conv_layers.0,0,0,22,0.7384953498840332,0.7476866245269775
conv_layers.0,0,0,23,0.47620517015457153,-0.30665940046310425
conv_layers.0,0,0,24,0.9043581485748291,-0.20808131992816925
conv_layers.0,0,0,25,0.8853862285614014,0.18609175086021423
conv_layers.0,0,0,26,0.8931015133857727,0.7650457620620728
conv_layers.0,0,0,27,0.8552843332290649,0.6354643106460571
conv_layers.0,0,0,28,0.5553089380264282,0.49269890785217285
conv_layers.0,0,0,29,0.7059623003005981,0.1372949182987213
conv_layers.0,0,0,30,0.6464383006095886,0.513093888759613
conv_layers.0,0,0,31,0.42225199937820435,0.2854388952255249
conv_layers.0,0,0,32,0.7855778932571411,0.39289990067481995
conv_layers.0,0,0,33,0.7817281484603882,0.16229410469532013
conv_layers.0,0,0,34,0.7855204343795776,0.6898931264877319
conv_layers.0,0,0,35,0.9218298196792603,0.5092989802360535
conv_layers.0,0,0,36,0.9528640508651733,0.2668758034706116
conv_layers.0,0,0,37,0.9050638675689697,0.5793895721435547
conv_layers.0,0,0,38,0.8740439414978027,0.3513179123401642
conv_layers.0,0,0,39,0.8939023017883301,0.10268479585647583
conv_layers.0,0,0,40,0.9263061881065369,0.2447725087404251
conv_layers.0,0,0,41,0.888092577457428,0.31672903895378113
conv_layers.0,0,0,42,0.8726418018341064,0.3244858980178833
conv_layers.0,0,0,43,0.9238130450248718,0.7225494980812073
conv_layers.0,0,0,44,0.5331660509109497,-0.1451682448387146
conv_layers.0,0,0,45,0.8082273602485657,0.6951615810394287
conv_layers.0,0,0,46,0.7704566717147827,0.5041470527648926
conv_layers.0,0,0,47,0.8216979503631592,0.6748337745666504
conv_layers.0,0,0,48,0.8028010129928589,0.44151291251182556
conv_layers.0,0,0,49,0.8533338308334351,0.5739710330963135
conv_layers.0,0,0,50,0.6699742078781128,0.639291524887085
conv_layers.0,0,0,51,0.9158089756965637,0.13504591584205627
conv_layers.0,0,0,52,0.8021519184112549,0.4825218915939331
conv_layers.0,0,0,53,0.8696260452270508,0.1267399936914444
conv_layers.0,0,0,54,0.6650688648223877,0.6844795346260071
conv_layers.0,0,0,55,0.5905641317367554,0.027393877506256104
conv_layers.0,0,0,56,0.8653037548065186,0.7011936902999878
conv_layers.0,0,0,57,0.6097730398178101,-0.12498779594898224
conv_layers.0,0,0,58,0.7770065665245056,-0.04848601669073105
conv_layers.0,0,0,59,0.8445183038711548,-0.0733197033405304
conv_layers.0,0,0,60,0.7175007462501526,0.7901785373687744
conv_layers.0,0,0,61,0.6033666729927063,0.6172739267349243
conv_layers.0,0,0,62,0.866540789604187,0.3192046284675598
conv_layers.0,0,0,63,0.588702380657196,0.1519118845462799
conv_layers.4,1,0,0,0.6476103663444519,0.5398474931716919
conv_layers.4,1,0,1,0.5952134728431702,0.3776150941848755
conv_layers.4,1,0,2,0.7570929527282715,0.4507112503051758
conv_layers.4,1,0,3,0.7221711277961731,0.5642848014831543
conv_layers.4,1,0,4,0.3548666834831238,0.39468103647232056
conv_layers.4,1,0,5,0.6917975544929504,0.7534794807434082
conv_layers.4,1,0,6,0.7485876083374023,0.5876450538635254
conv_layers.4,1,0,7,0.7392076253890991,0.5616605877876282
conv_layers.4,1,0,8,0.6556631922721863,0.49806684255599976
conv_layers.4,1,0,9,0.5746856927871704,0.49244287610054016
conv_layers.4,1,0,10,0.3171044588088989,0.4054340124130249
conv_layers.4,1,0,11,0.841865062713623,0.6131058931350708
conv_layers.4,1,0,12,0.6839480400085449,0.4712058901786804
conv_layers.4,1,0,13,0.6539947390556335,0.5638090372085571
conv_layers.4,1,0,14,0.8361744284629822,0.7062209844589233
conv_layers.4,1,0,15,0.7409065961837769,0.5083122253417969
conv_layers.4,1,0,16,0.846074104309082,0.6823315024375916
conv_layers.4,1,0,17,0.7364270687103271,0.47067904472351074
conv_layers.4,1,0,18,0.7559104561805725,0.4718804955482483
conv_layers.4,1,0,19,0.5482519865036011,0.4720635414123535
conv_layers.4,1,0,20,0.8176414370536804,0.5324923396110535
conv_layers.4,1,0,21,0.6567178964614868,0.6881306171417236
conv_layers.4,1,0,22,0.5446506142616272,0.598160982131958
conv_layers.4,1,0,23,0.31771641969680786,0.4938390851020813
conv_layers.4,1,0,24,0.7413556575775146,0.6953218579292297
conv_layers.4,1,0,25,0.7954171895980835,0.544026792049408
conv_layers.4,1,0,26,0.7220079302787781,0.48114246129989624
conv_layers.4,1,0,27,0.6155865788459778,0.3979280889034271
conv_layers.4,1,0,28,0.6940345764160156,0.5828990340232849
conv_layers.4,1,0,29,0.7769201993942261,0.472206711769104
conv_layers.4,1,0,30,0.47381308674812317,0.4798785448074341
conv_layers.4,1,0,31,0.7709972858428955,0.5221530199050903
conv_layers.4,1,0,32,0.5019741654396057,0.24229788780212402
conv_layers.4,1,0,33,0.812025785446167,0.5643260478973389
conv_layers.4,1,0,34,0.5811156034469604,0.4626677930355072
conv_layers.4,1,0,35,0.49049270153045654,0.6302107572555542
conv_layers.4,1,0,36,0.7659555077552795,0.5646881461143494
conv_layers.4,1,0,37,0.5983428359031677,0.5837096571922302
conv_layers.4,1,0,38,0.6112688779830933,0.6177346706390381
conv_layers.4,1,0,39,0.8417929410934448,0.6518234014511108
conv_layers.4,1,0,40,0.8129819631576538,0.6513752341270447
conv_layers.4,1,0,41,0.7361763715744019,0.6169267892837524
conv_layers.4,1,0,42,0.6917325258255005,0.5155038833618164
conv_layers.4,1,0,43,0.8161411285400391,0.6471487283706665
conv_layers.4,1,0,44,0.3528054356575012,0.5209786891937256
conv_layers.4,1,0,45,0.5416959524154663,0.39843305945396423
conv_layers.4,1,0,46,0.5094575881958008,0.4476100206375122
conv_layers.4,1,0,47,0.6618838310241699,0.48105043172836304
conv_layers.4,1,0,48,0.7089016437530518,0.5986713171005249
conv_layers.4,1,0,49,0.7501009702682495,0.6016045808792114
conv_layers.4,1,0,50,0.1647169589996338,0.4806743562221527
conv_layers.4,1,0,51,0.8804454803466797,0.7838060259819031
conv_layers.4,1,0,52,0.794236958026886,0.6862900257110596
conv_layers.4,1,0,53,0.8442342281341553,0.7254676818847656
conv_layers.4,1,0,54,0.43198299407958984,0.46317821741104126
conv_layers.4,1,0,55,0.40940842032432556,0.28342875838279724
conv_layers.4,1,0,56,0.8155769109725952,0.6905079483985901
conv_layers.4,1,0,57,0.7562387585639954,0.5129141807556152
conv_layers.4,1,0,58,0.7705361247062683,0.6092589497566223
conv_layers.4,1,0,59,0.5768828988075256,0.5620807409286499
conv_layers.4,1,0,60,0.41162073612213135,0.5051715970039368
conv_layers.4,1,0,61,0.7135785818099976,0.642702579498291
conv_layers.4,1,0,62,0.8200170993804932,0.5945826768875122
conv_layers.4,1,0,63,0.40975475311279297,0.5159071683883667
fc_layers.0,2,0,0,0.591528058052063,0.35416799783706665
fc_layers.0,2,0,1,0.570281445980072,0.25193750858306885
fc_layers.0,2,0,2,0.5911141633987427,0.300361692905426
fc_layers.0,2,0,3,0.4962986707687378,0.3410649299621582
fc_layers.0,2,0,4,0.5065528154373169,0.2733348608016968
fc_layers.0,2,0,5,0.5720549821853638,0.3495042324066162
fc_layers.0,2,0,6,0.5847304463386536,0.30369067192077637
fc_layers.0,2,0,7,0.5782879590988159,0.27288615703582764
fc_layers.0,2,0,8,0.6634030938148499,0.33799612522125244
fc_layers.0,2,0,9,0.5207505822181702,0.2691528797149658
fc_layers.0,2,0,10,0.5899274945259094,0.26140546798706055
fc_layers.0,2,0,11,0.5951558947563171,0.3378021717071533
fc_layers.0,2,0,12,0.5150038003921509,0.30530720949172974
fc_layers.0,2,0,13,0.5556915402412415,0.27709636092185974
fc_layers.0,2,0,14,0.6138330101966858,0.35587114095687866
fc_layers.0,2,0,15,0.6317374110221863,0.32025203108787537
fc_layers.0,2,0,16,0.5092121362686157,0.3257611393928528
fc_layers.0,2,0,17,0.5453215837478638,0.31912025809288025
fc_layers.0,2,0,18,0.4542047381401062,0.287771999835968
fc_layers.0,2,0,19,0.5178096890449524,0.2446315884590149
fc_layers.0,2,0,20,0.6035307049751282,0.3501434326171875
fc_layers.0,2,0,21,0.5434971451759338,0.38569673895835876
fc_layers.0,2,0,22,0.5633581876754761,0.29630860686302185
fc_layers.0,2,0,23,0.5965544581413269,0.27820611000061035
fc_layers.0,2,0,24,0.6450759172439575,0.3676068186759949
fc_layers.0,2,0,25,0.6459228992462158,0.36192452907562256
fc_layers.0,2,0,26,0.5150426626205444,0.31217578053474426
fc_layers.0,2,0,27,0.5165643692016602,0.27537673711776733
fc_layers.0,2,0,28,0.6007537245750427,0.3851960599422455
fc_layers.0,2,0,29,0.6649037599563599,0.3852030038833618
fc_layers.0,2,0,30,0.46713024377822876,0.2635175585746765
fc_layers.0,2,0,31,0.6639727354049683,0.3995867967605591
fc_layers.0,2,0,32,0.5190443992614746,0.2285611629486084
fc_layers.0,2,0,33,0.5935283303260803,0.3252735435962677
fc_layers.0,2,0,34,0.4927114248275757,0.2725614905357361
fc_layers.0,2,0,35,0.47556477785110474,0.26566171646118164
fc_layers.0,2,0,36,0.6169872283935547,0.3682824969291687
fc_layers.0,2,0,37,0.513483464717865,0.379456102848053
fc_layers.0,2,0,38,0.6261093616485596,0.32044434547424316
fc_layers.0,2,0,39,0.5482968688011169,0.3394581079483032
fc_layers.0,2,0,40,0.5681414008140564,0.3155474066734314
fc_layers.0,2,0,41,0.5068687200546265,0.2633304297924042
fc_layers.0,2,0,42,0.5451600551605225,0.32592710852622986
fc_layers.0,2,0,43,0.48293471336364746,0.3072352707386017
fc_layers.0,2,0,44,0.612095057964325,0.3274233937263489
fc_layers.0,2,0,45,0.48047953844070435,0.2021130919456482
fc_layers.0,2,0,46,0.5697934627532959,0.29901355504989624
fc_layers.0,2,0,47,0.5642122626304626,0.345561683177948
