layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
conv_layers.0,0,0,0,0.8802741169929504,-0.016066137701272964
conv_layers.0,0,0,1,0.9437769651412964,0.7356690168380737
conv_layers.0,0,0,2,0.8750636577606201,0.3263837695121765
conv_layers.0,0,0,3,0.8946776390075684,0.6675611734390259
conv_layers.0,0,0,4,0.9149974584579468,0.653419017791748
conv_layers.0,0,0,5,0.781964123249054,0.45504894852638245
conv_layers.0,0,0,6,0.8846521377563477,0.19290320575237274
conv_layers.0,0,0,7,0.8052167892456055,0.6383321285247803
conv_layers.0,0,0,8,0.6139665246009827,-0.0052815815433859825
conv_layers.0,0,0,9,0.8958240747451782,0.6466718912124634
conv_layers.0,0,0,10,0.9236650466918945,0.5373910069465637
conv_layers.0,0,0,11,0.8055180311203003,0.28802257776260376
conv_layers.0,0,0,12,0.9214849472045898,0.8346798419952393
conv_layers.0,0,0,13,0.8717095851898193,-0.13307523727416992
conv_layers.0,0,0,14,0.8667301535606384,0.5853351354598999
conv_layers.0,0,0,15,0.9501292705535889,0.624212920665741
conv_layers.0,0,0,16,0.923567533493042,0.5666648149490356
conv_layers.0,0,0,17,0.8751919269561768,0.6395168304443359
conv_layers.0,0,0,18,0.968680202960968,-0.09230691194534302
conv_layers.0,0,0,19,0.9024220705032349,0.41184666752815247
conv_layers.0,0,0,20,0.8755378723144531,0.4132750332355499
conv_layers.0,0,0,21,0.7974831461906433,0.035433076322078705
conv_layers.0,0,0,22,0.8722954988479614,0.7023658752441406
conv_layers.0,0,0,23,0.6522282361984253,0.10657261312007904
conv_layers.0,0,0,24,0.8062489032745361,-0.057047080248594284
conv_layers.0,0,0,25,0.932927668094635,0.68941730260849
conv_layers.0,0,0,26,0.9138264060020447,0.3717098534107208
conv_layers.0,0,0,27,0.8442466259002686,0.6096903681755066
conv_layers.0,0,0,28,0.8463796377182007,0.4829031527042389
conv_layers.0,0,0,29,0.9382057189941406,0.6474267840385437
conv_layers.0,0,0,30,0.9710705280303955,0.6743052005767822
conv_layers.0,0,0,31,0.7842878103256226,0.19608384370803833
conv_layers.0,0,0,32,0.8039827346801758,0.213069349527359
conv_layers.0,0,0,33,0.6361410021781921,0.08495411276817322
conv_layers.0,0,0,34,0.9394033551216125,0.572483479976654
conv_layers.0,0,0,35,0.9088515043258667,0.14996440708637238
conv_layers.0,0,0,36,0.8915128707885742,0.59623122215271
conv_layers.0,0,0,37,0.8086351156234741,0.33998996019363403
conv_layers.0,0,0,38,0.9170418381690979,0.6214432716369629
conv_layers.0,0,0,39,0.8928898572921753,0.4229965806007385
conv_layers.0,0,0,40,0.9349162578582764,0.3251265287399292
conv_layers.0,0,0,41,0.743604302406311,0.09600349515676498
conv_layers.0,0,0,42,0.8941730856895447,0.650018036365509
conv_layers.0,0,0,43,0.9186338186264038,0.6365318298339844
conv_layers.0,0,0,44,0.9191192388534546,0.5917918682098389
conv_layers.0,0,0,45,0.8657349348068237,0.23776103556156158
conv_layers.0,0,0,46,0.8917065858840942,0.6851841807365417
conv_layers.0,0,0,47,0.9088627099990845,0.656415581703186
conv_layers.0,0,0,48,0.8953174352645874,0.6784681081771851
conv_layers.0,0,0,49,0.9565834999084473,0.753335177898407
conv_layers.0,0,0,50,0.8249931931495667,-0.02639320120215416
conv_layers.0,0,0,51,0.9146335124969482,-0.08674439787864685
conv_layers.0,0,0,52,0.8620957136154175,0.34404855966567993
conv_layers.0,0,0,53,0.8429669737815857,0.08247046172618866
conv_layers.0,0,0,54,0.8444948792457581,0.6379958987236023
conv_layers.0,0,0,55,0.9528412222862244,0.6855987310409546
conv_layers.0,0,0,56,0.8449180126190186,0.5161448121070862
conv_layers.0,0,0,57,0.7754284143447876,-0.13736848533153534
conv_layers.0,0,0,58,0.7092409133911133,0.026520226150751114
conv_layers.0,0,0,59,0.9046213626861572,0.6696984767913818
conv_layers.0,0,0,60,0.9087101221084595,0.6019907593727112
conv_layers.0,0,0,61,0.8037149310112,0.5114405751228333
conv_layers.0,0,0,62,0.9377528429031372,0.32360219955444336
conv_layers.0,0,0,63,0.8763059377670288,0.6571563482284546
conv_layers.4,1,0,0,0.8466070890426636,0.725134015083313
conv_layers.4,1,0,1,0.929783821105957,0.7985703349113464
conv_layers.4,1,0,2,0.8138551712036133,0.6125121116638184
conv_layers.4,1,0,3,0.908684492111206,0.7894412279129028
conv_layers.4,1,0,4,0.9397833347320557,0.8159595131874084
conv_layers.4,1,0,5,0.8267796039581299,0.7147796154022217
conv_layers.4,1,0,6,0.8767367601394653,0.7345026731491089
conv_layers.4,1,0,7,0.926659345626831,0.8024907112121582
conv_layers.4,1,0,8,0.5729745626449585,0.3892422914505005
conv_layers.4,1,0,9,0.9105219841003418,0.7602975964546204
conv_layers.4,1,0,10,0.9453812837600708,0.8412160873413086
conv_layers.4,1,0,11,0.7935007810592651,0.6572564840316772
conv_layers.4,1,0,12,0.9293721318244934,0.8304501175880432
conv_layers.4,1,0,13,0.7602828741073608,0.585554838180542
conv_layers.4,1,0,14,0.8333724737167358,0.6782178282737732
conv_layers.4,1,0,15,0.9179349541664124,0.7933169603347778
conv_layers.4,1,0,16,0.8917243480682373,0.7694627046585083
conv_layers.4,1,0,17,0.8704030513763428,0.7327525615692139
conv_layers.4,1,0,18,0.9158778190612793,0.7969754934310913
conv_layers.4,1,0,19,0.8758771419525146,0.7254002094268799
conv_layers.4,1,0,20,0.8344638347625732,0.6732900738716125
conv_layers.4,1,0,21,0.6849520206451416,0.5263093709945679
conv_layers.4,1,0,22,0.9086219072341919,0.7442934513092041
conv_layers.4,1,0,23,0.7174240350723267,0.5545868873596191
conv_layers.4,1,0,24,0.8459165096282959,0.6765468716621399
conv_layers.4,1,0,25,0.9019325375556946,0.7580633163452148
conv_layers.4,1,0,26,0.8531227111816406,0.6571738719940186
conv_layers.4,1,0,27,0.8413827419281006,0.7006447911262512
conv_layers.4,1,0,28,0.8828219175338745,0.7752912044525146
conv_layers.4,1,0,29,0.8759967088699341,0.7328507900238037
conv_layers.4,1,0,30,0.9325995445251465,0.8288494348526001
conv_layers.4,1,0,31,0.7342557907104492,0.5984981656074524
conv_layers.4,1,0,32,0.7136175632476807,0.603890061378479
conv_layers.4,1,0,33,0.6626951694488525,0.5587666630744934
conv_layers.4,1,0,34,0.876800537109375,0.7224694490432739
conv_layers.4,1,0,35,0.8492783904075623,0.6875725984573364
conv_layers.4,1,0,36,0.8416088819503784,0.7249455451965332
conv_layers.4,1,0,37,0.7621842622756958,0.5500501394271851
conv_layers.4,1,0,38,0.9083349704742432,0.7844182848930359
conv_layers.4,1,0,39,0.9233173131942749,0.8017544150352478
conv_layers.4,1,0,40,0.8853529691696167,0.721532940864563
conv_layers.4,1,0,41,0.7869094610214233,0.6315938234329224
conv_layers.4,1,0,42,0.8894912004470825,0.759727418422699
conv_layers.4,1,0,43,0.8784323930740356,0.6686719059944153
conv_layers.4,1,0,44,0.9511557221412659,0.8420245051383972
conv_layers.4,1,0,45,0.900066614151001,0.7791296243667603
conv_layers.4,1,0,46,0.8742818832397461,0.7796114087104797
conv_layers.4,1,0,47,0.8795496225357056,0.7616126537322998
conv_layers.4,1,0,48,0.9079567790031433,0.796892523765564
conv_layers.4,1,0,49,0.9030099511146545,0.7325167655944824
conv_layers.4,1,0,50,0.8419091701507568,0.6671475768089294
conv_layers.4,1,0,51,0.8789179921150208,0.7566131949424744
conv_layers.4,1,0,52,0.8757773637771606,0.7779392600059509
conv_layers.4,1,0,53,0.8046454191207886,0.611301064491272
conv_layers.4,1,0,54,0.8462769389152527,0.7414596080780029
conv_layers.4,1,0,55,0.9278556108474731,0.8063892722129822
conv_layers.4,1,0,56,0.759539008140564,0.5250750184059143
conv_layers.4,1,0,57,0.6025965213775635,0.4332627058029175
conv_layers.4,1,0,58,0.6644137501716614,0.5337044596672058
conv_layers.4,1,0,59,0.9214732646942139,0.7786949276924133
conv_layers.4,1,0,60,0.9285213947296143,0.8123326301574707
conv_layers.4,1,0,61,0.8840008974075317,0.7099916934967041
conv_layers.4,1,0,62,0.9038646221160889,0.760575532913208
conv_layers.4,1,0,63,0.8587517738342285,0.7404438853263855
fc_layers.0,2,0,0,0.49885955452919006,0.3909848928451538
fc_layers.0,2,0,1,0.7087695598602295,0.5343563556671143
fc_layers.0,2,0,2,0.5198245048522949,0.4038041830062866
fc_layers.0,2,0,3,0.586454451084137,0.3835369348526001
fc_layers.0,2,0,4,0.7469945549964905,0.49734681844711304
fc_layers.0,2,0,5,0.5735621452331543,0.410938024520874
fc_layers.0,2,0,6,0.5573660135269165,0.4043307602405548
fc_layers.0,2,0,7,0.7641833424568176,0.5026435852050781
fc_layers.0,2,0,8,0.5260910391807556,0.4083459675312042
fc_layers.0,2,0,9,0.6868425011634827,0.46622446179389954
fc_layers.0,2,0,10,0.7018468379974365,0.531140923500061
fc_layers.0,2,0,11,0.5833040475845337,0.477229505777359
fc_layers.0,2,0,12,0.6815473437309265,0.5008383989334106
fc_layers.0,2,0,13,0.47417449951171875,0.30749577283859253
fc_layers.0,2,0,14,0.5330039262771606,0.35597532987594604
fc_layers.0,2,0,15,0.711783766746521,0.4276789128780365
fc_layers.0,2,0,16,0.7165976762771606,0.5740407109260559
fc_layers.0,2,0,17,0.5828900337219238,0.44894301891326904
fc_layers.0,2,0,18,0.6152359247207642,0.35133466124534607
fc_layers.0,2,0,19,0.48956984281539917,0.3900933563709259
fc_layers.0,2,0,20,0.5407180190086365,0.33190590143203735
fc_layers.0,2,0,21,0.5095193386077881,0.46320098638534546
fc_layers.0,2,0,22,0.6430166363716125,0.4932246208190918
fc_layers.0,2,0,23,0.5234010219573975,0.37632066011428833
fc_layers.0,2,0,24,0.5622096061706543,0.28901106119155884
fc_layers.0,2,0,25,0.5563901662826538,0.35869818925857544
fc_layers.0,2,0,26,0.5405580997467041,0.343415230512619
fc_layers.0,2,0,27,0.5249884128570557,0.3328476846218109
fc_layers.0,2,0,28,0.6730812788009644,0.5002021193504333
fc_layers.0,2,0,29,0.6656075716018677,0.47518646717071533
fc_layers.0,2,0,30,0.6199122667312622,0.4415246844291687
fc_layers.0,2,0,31,0.5987759232521057,0.48950859904289246
fc_layers.0,2,0,32,0.4836643934249878,0.37342262268066406
fc_layers.0,2,0,33,0.4947786033153534,0.4374019503593445
fc_layers.0,2,0,34,0.5593019127845764,0.32134249806404114
fc_layers.0,2,0,35,0.6431105136871338,0.4890415072441101
fc_layers.0,2,0,36,0.6080373525619507,0.4218856990337372
fc_layers.0,2,0,37,0.5652828216552734,0.39450186491012573
fc_layers.0,2,0,38,0.5454404950141907,0.41225165128707886
fc_layers.0,2,0,39,0.6888304948806763,0.43246936798095703
fc_layers.0,2,0,40,0.5595180988311768,0.33094751834869385
fc_layers.0,2,0,41,0.5993077158927917,0.4913907051086426
fc_layers.0,2,0,42,0.7797050476074219,0.49751099944114685
fc_layers.0,2,0,43,0.594901442527771,0.4151836037635803
fc_layers.0,2,0,44,0.6898829936981201,0.4853762984275818
fc_layers.0,2,0,45,0.5404711961746216,0.3141308128833771
fc_layers.0,2,0,46,0.5589961409568787,0.4249967932701111
fc_layers.0,2,0,47,0.6566061973571777,0.5027807354927063
fc_layers.0,2,0,48,0.6286525726318359,0.4600803852081299
fc_layers.0,2,0,49,0.5609668493270874,0.42006832361221313
fc_layers.0,2,0,50,0.5298713445663452,0.4327854812145233
fc_layers.0,2,0,51,0.5357186198234558,0.3695507347583771
fc_layers.0,2,0,52,0.5545110702514648,0.41682788729667664
fc_layers.0,2,0,53,0.5182777047157288,0.3539295196533203
fc_layers.0,2,0,54,0.608919084072113,0.5005843639373779
